formula,target
Bi2 K2 O15 P4 Pb1,0.182033079
Al0.482 Ni0.185 Ti0.333,0.377240114
Cu1 Tb1 Te2,0.34657359
Bi1.9 Ca1 Nb2 O12 Sr1.04 Ti1,0.259155364
C1 Ce0.2 U0.8,0.250201212
Ag3 Cd1,0.562335145
La1.1 Ni1 O8 Ru1 Sr2.9,0.267069248
Al4.24 Be0.945 Fe0.759 Mg1.94 O16 Si3.055,0.080954769
Ge2 Ho1 Pd0.22,0.163636013
Al1.325 Ca1 Li0.675,0.696690241
Au4.746 Ho1.083 Si1.245,0.1407811
Mg1 O6 Pb1 Pr1 Sb1,0.140072158
La1 Mn0.25 Ni0.75 O3,0.112467029
Al0.22 Ba2 Cu2.78 O6.71 Y1,0.143814475
Na11.08 P1 S12 Sn2,0.081130123
Mn1.09 Sb1,0.135706745
La0.8 Ni1 O5 Ru1 Sr2.2,0.312705062
F0.55 La0.667 Mn1 O2.383 Sr0.317,0.494419166
Ag0.2 Ce1 Cu1.8 In1,0.162541487
Cu0.1 Fe2 Mg0.05 Ni0.85 O4,0.140647345
Ce0.5 La0.05 O1.75 Sm0.45,0.585174178
I4 Rb2 Zn1,0.198042052
Co0.8 Fe0.2 La1 O3,0.100080485
B0.8 Rh3 Y1,0.104250505
Ba3 Bi6.67 Se13,0.028067176
Fe0.568 Mg0.432 O1,0.34193523
Hg6.16 I6 Sb4 Sn1,0.025133155
Ba0.75 N2 O2 Si2 Sr0.25,0.080333592
Ca7.4 Li0.6 O28 P7 Sr2.8,0.139336584
Cr2 Cu0.8 Mn0.2 S4,0.071486061
Al0.8 V1.2,0.673011667
Bi0.51 Ni0.255 O3 Pb0.49 Ti0.745,0.2521418
H2 Li0.18 Mg0.65 Zr0.14,0.326304764
Co0.5 Mg0.5 O6 Sr2 Te1,0.069314718
F1 O1 Pr1,0.46209812
Ca0.9 La0.2 O3 Zr0.9,0.165097079
Bi2 Ge2 Te5,0.28936976
Ba0.95 O3 Pb0.05 Ti1,0.039703049
Al2 Eu1 Zn2,0.400321939
Al0.5 Cu1 In0.5 S2,0.173286795
Mn1 Nd4 O13 Si3,0.46209812
Au0.33 Cu0.33 Ni0.34,1.098611289
Co0.015 Cu0.985 La1.8 O4 Sr0.2,0.104006922
K0.5 Ni0.5 O2 Sb0.5,0.495105129
Cr0.85 La1 Mg0.15 O3,0.084541818
Ba0.4 Fe1 La0.6 O3,0.134602333
Ge1 V2.88 Zr0.12,0.125958111
Eu1 O3 Yb1,0.27691304
Mn4 O12 Sm2 Ti2,0.205563898
Ba1 Cr2.3 Cs0.3 O16 Ti5.7,0.261755798
Fe1 K0.887 Mo0.979 O6 Sr1.081,0.237583533
Ba1 Mn1 O2.95,0.050730522
Mg2.8 Ni2 Tb4.2,0.037477791
Al3 O7 Pr1 Sr1,0.11552453
C0.76 Al2.9 Fe14.1 Ho2,0.4299046
H10 B1 Li4 N3,0.207104524
Ga2 Mn0.482 Se4 Zn0.518,0.296970486
Hf0.91 N1 Zr0.09,0.151268912
Bi1.894 In0.106 S0.11 Te2.89,0.17591218
Ce0.98 Nd0.02,0.098039113
Ca0.99 Eu0.01 O4 W1,0.009333589
Bi1 Fe1 O6 Te1,0.072240661
B0.018 Ca0.916 Mg0.926 Na0.066 O6 Si1.96 Ti0.086,0.078391508
As0.54 Ge0.23 Te0.23,1.008791462
Na1.34 O7 P2 Zr0.66,0.115687794
H0.8 F1.08 Mg8.792 O16.88 Si4 Ti0.208,0.112028218
Al2.39 Ca6.72 Cd0.28 Fe1.2 Mg0.4 Mn0.52 O18 P0.2 Si0.48 Zn2.82,0.224173635
Co0.4 Li1 Mn0.3 Ni0.3 O2,0.364408677
Fe0.739 Li1 O6 Sc0.261 Si2,0.057410029
B2 Mg5 O10 Sn0.8 Ti0.2,0.027800135
Bi1 Ce0.09 F0.5 La0.09 Nd0.32 O0.5 Pr0.3 S2 Sm0.2,0.434855157
Ca2 Er1 F7,0.067994618
Al0.44 Mn1.56 Ti1,0.351331969
Bi23 Cr1 Nb3 O45,0.101705134
Al1.586 Cr0.244 Mg1.19 O4,0.304350541
Ag1.05 Ga2.95 Nd1,0.276797895
Ba2 Ca2 Cu3 Hg0.8 O8.1 Tl0.2,0.051272385
Fe0.44 Nb0.51 O4 Ta0.43 Ti0.25,0.359121584
Eu0.15 Li3.5 Mo4 O16 Y1.35,0.063597782
Ce6 P17 Rh32,0.012602676
Bi1 Fe1 O3,0.747127465
Bi0.2 O1.9 U0.8,0.309459624
Ca1 O3 Ta0.5 Y0.5,0.138629436
Ga0.5 Ni3 Si0.5,0.173286795
C0.2 N0.8 Ti1,0.250201212
Co0.92 La1 Mn0.08 O3,0.055753874
Ba2 Gd3 Li3 Mo8 O32,0.084791827
La0.2 Ru2 Th0.8,0.166800808
Cu0.99 In0.99 Se2,0.028141475
Ag51 Sm14,0.063982817
H12 Al0.157 As1 Cu2 Fe0.843 O12,0.015523626
Bi0.5 Cr1 O3 Y0.5,0.138629436
La2.1 Pb0.9 S8 Si2,0.141742037
Gd0.03333 Li1.32210111 O3.9996 Ti1.64426889,0.149853255
Ag1.32 Al0.66,0.642709969
Fe2 O7 Sr1.09 Tb1.91,0.050256021
Cr0.89 In1.44 Ni0.5 S4,0.37979356
Ge4 Ta1.87 Zr3.13,0.190153037
Gd1 Pd1.8 Pt1.2,0.50475875
Li0.5 Mn0.5 Ni0.5 O1.883,0.702210102
Li1.02 Ni0.98 O2,0.064718581
As1 Mn2 Sb1,0.34657359
B2 Ca3 N4,0.110477028
Ce1 Fe0.5 Si1.5,0.374890096
Fe0.33 Mn0.67,0.634178636
O4 Rh1 Ta1,0.23104906
C5 Ba0.65 Ca1.19 La0.75 Na2.76 O15 Sr0.65,0.190686907
Al0.1 Li1 Mn0.45 Ni0.45 O2,0.358574927
Nb8 P5,0.053319014
C6 H26 Al1 B7 N6 O14 Zn1,0.068178411
Bi0.011 Mn2 Sb0.984,0.268652429
Ir0.62 Re0.38 Ti1,0.332032063
H7.92 Al3.96 F0.24 Fe0.7 K0.004 Mg1.3 O19.76 Si4,0.080323596
B4 Re0.5 V5.5,0.112467029
Al0.74 B0.08 Ge0.18 Nb3,0.183384944
Br1.8 Mo1 O8 Pb6.3,0.34920166
Ba0.5 La1.5 Ni1 O3.72,0.287886497
C1 N1 Ti2,0.34657359
Co14.86 Ge8 Mg9.14 O40,0.20331874
Co0.137 Li1.149 Mn0.467 Ni0.246 O2,0.31422226
Ba0.5 Pb3 Sr0.5,0.173286795
Ni3 S4,0.272770393
Cu0.1 Fe2 Mg0.5 O4 Zn0.4,0.134764056
Ca2 Fe15.588 O25,0.054109565
Ba1 Cu3 O7 Sm1 Sr1,0.213276056
Cu0.05 Fe0.95 La1 O3,0.039703049
Al6.25 Au5.75 Sr1,0.359150957
B4 Mn0.8 Mo3.2,0.250201212
Ba1 F5 Ti1,0.173286795
Cd2 Cu1 Ga1 Te4,0.519860385
Fe0.899 Mn0.101 O1,0.163637329
Ca0.15 Cu0.7 La1.85 Ni0.3 O4,0.163376176
