formula,target
H2 Al3.24 Ge1.56 K0.94 O12 Si1.12,11
H6.856 Al1 F3 K0.286 N1.714 O4 S1,11
Fe0.4 Mn0.6 S1,2
Ga0.8 Ge5.2 Mn6 Tm1,5
Mn1 O4 Pr0.5 Sr1.5,4
Al8.54 La1.42 Mn8.46,5
Li6 Mo1 N4,4
Co3 Ga9 Sm2,7
Fe1.2 Mg1.4 O4 Sn0.4,3
Ga1 Li2 Pd1,4
Na2 O7 Te1 U1,9
Ba6 Cu2.589 In0.411 S16 Sn4,5
C4 Ba1 Ca0.5 Ce2 F1 O12,8
Br2 Nb1 Se2,4
Bi1 Ca1 O6.86 Ru1.94,4
C4 H2 Cd1 N4 S6,9
Ho1 Pt2 Si2,5
Ce3.66 Ge4 Y0.86,6
Rh4 Si1 Sm1 Sn1,7
Bi2 Ca0.6 Cu2 O8.2 Sr2 Yb0.4,10
Pd29.75 Yb13 Zn23.25,9
Ce3 Cs2 F12 O1,9
Cu2 Eu1 Ge2,3
Ho3 O7 Ta1,2
Ce1 Ga1 Mg1,4
Ba0.1 Ca0.01 Na0.89 Nb0.89 O3 Ti0.1 Zr0.01,4
Na1 O20 U4 V3,11
Nb2 Pd0.691 Se5,9
B0.85 Gd1 Rh3,3
Ag9.26 Al7.74 Gd1.85,6
Ge2 K6 Te6,8
Al3.82 Ca0.19 K0.6 Na2.79 O15.99 Si4.18,12
Ca3 Mn2 O7,7
Bi4 Fe1 Nd1 O15 Ti3,13
C9 Bi1 Ir3 O9,20
H2 Ba1 Ca1 O8 P2,14
B2 K1 O6 Ta1,7
Li1 O2 Rh1,3
In1.76 Ti2.24,2
Mn0.1 O1 Zn0.9,2
Al16 Hf6 Pt7,5
Gd1.6 La0.4 O7 Zr2,5
Ge1 Na2 O7 Ti1 Zn2,13
O5 P1 Rb0.94 Ta0.06 Ti0.94,16
Dy2 Fe17,6
Al4 Cu0.856 Zr1,5
C6 F19 S2 Sb1,15
Ag1 As3 Cu4 O12,12
F1 O10 Si2.975 Y1.72,17
Ba0.09 Ga1.1 Ge2.9 K0.91 O8,13
Cr0.86 Se0.05 Te0.95,2
F6 Ir1 K2,3
Cd1 Gd2 Pd2,3
La0.01 Mg0.333 Nb0.667 O3 Pb0.985,4
Fe0.43 K1 Nb1.57 O5,8
Fe0.6 La1 Ni0.4 O3,4
Ni2 Sn1 V1,3
Cl3 K1 Ni1,5
Ba2 Li2.8 Lu3.2 Mo8 O32,13
Fe8.92 Gd0.34 Mo2.68 Nd0.66,4
Cu4 Ge4 Tb3,5
Ca2 La1 Mn0.002 Nb0.998 O6,6
Li1.05 Mn1.5 Ni0.5 O4,3
B3 Eu0.966 Li6 O9,19
As1 Cd1 Li1,3
H8 B2 Mg1 O13 P2,20
La0.989 Mn0.32 Ni4.71,5
Mn1 Sc1 Si1,4
Fe1.33 Mo0.66 O5.8 Sr2,4
As1 Co5 O10 V1,20
Ag1 Pr3 S7 Si1,6
Fe10 Gd1 Mo2,4
Ba1 Li0.2 N0.19 O2.81 Ta0.8,3
C2 H11 Cd2 O25.5 U6,20
Cl3 Co1 Cs1,3
F0.91 Li1 Nb2 O6 Sr0.93,4
As1 Cr1 O3 Sc1 Sr2,7
Na6 O9 S2,4
Co1 Er1 Ge2,4
Cd1 Co3 N1,3
Bi2.29 Gd5 Ni0.71,6
Co0.93 Nb0.07,1
C6 H6 Cl3 Dy1 F6 O9,20
C5 H14 Cd1 Cl3 N1 O1,20
Ce1 N1.51 Nb0.975 O1.49,4
As3 Sn4,4
Pt1 Pu1,2
S2 Yb1,3
Br1 Cl1 Pb1,3
Bi0.99 Cl1 Er0.01 O1,3
Li0.301 Ni1.699 O2,3
Cs1 F6 Fe1 V1,3
Li1 Nd1 Sn2,4
Nb0.61 O3 Pb1 Zn0.39,3
Hf0.33 W0.67,1
Ce1 Cu2.5 Ni2.5,3
Li2.5 O8 Ti3.25 Zn0.25,3
Ge3 Ta5,4
H2 Al3.22 Ge1.88 K0.91 O12 Si0.8,11
Li0.38 Na0.62 O3 V1,6
