formula,target
Cr0.0014 Fe0.0084 Li0.95 Mn1.94 O3.98,3
Ca1 Se1,2
F6 Fe1 Na1 Rb2,4
C12 H44 Cd3 Cs3 O58 Ru6,20
Ba1 Cu3 Nd1 O7.13 Sr1,9
F2 Ge2 Ho3 Li1 O8,9
Cs8 Ge9 O27 Tb3,20
B5 Na3 O10 Zn1,19
H12 N6 Ni1 O4,8
Ba2 Cu2.98 Fe0.02 La1 O6.5,9
B15 Li1 Na4 O25,20
Mg1.99 Si1,3
Eu1 Pd2 Sn2,5
Au3.4 Ca11 Cd18.6,9
In6 Se7,13
C1 B2 Th1,4
Al2.77 Fe10.23 La6 Se0.37,7
Ag2.565 Mo15 Se19 Tl1.96,10
N2.4 W4,3
H7 Mo2 N1 Ni1.725 O10,10
Cd1 Cs1 F3,3
Fe1 Nb1 Sb1,3
Li0.956 Mn2.044 O4,3
C1 H6 N5 O3 Rb1,16
Cr1 Li2 Mn1 O4,3
Ca1 Cl2 O8,11
H1 Ba1 F1,3
Al1.8 Fe0.2 Mg1 O4,3
I6 In2,4
Ge4 U5,4
N2 Nd1 Th1,2
Mg0.25641 Nb0.51359 O3 Pb0.99 Ti0.23,3
La1 Ni1 Sb2,4
Co2 La0.81 P2 Pr0.19,3
Ho1 Na1 S2,3
H12 Br2 Cu1 O12,6
Au5 Ca1,3
Co0.03 Ni0.97 O3 Sm1,4
Al0.8 Ni3 V0.2,2
H12 As2 Co2 O13,13
Cr0.04 O2 Sn0.96,2
Co2 In2 O26 Rb6 Si9,20
H6 Ba3 In2 O18 P6,13
Hg3 O5 Se4,12
Co1 Na0.42 O2,3
Co0.6 Ni2.4 Ti1,4
Fe6.72 Ga5.28 Sc1,4
H10 Fe1 N1 O11 S2,20
Br1 O1 Ti1,3
Al2 Co0.1 Mn0.9 O4,3
La0.33 Li0.326 O3 Sr0.344 Ti1,3
Co0.4 Fe2.3 Li0.3 O4,3
Lu1 P5,4
Ce0.15 Cu1 Nd1.85 O4.02,4
P3 Ru1,8
Br12 Co1 Ho7,5
Ba4 Cu1 O12 W2 Y1,4
Ba0.994 Bi0.974 K0.023 O2.95,5
Al11 Na0.78 O17 Pr0.26,12
Cr1.95 Ni0.05 Se4 Zn1,3
Ca0.175 Fe1 Na0.825 O6 Si2,6
Mn7 Mo4 Si8,16
Ir4 Sm3 Sn13,4
Cr2 Hg1 S1 Se3,3
Ba2 Fe1 Mn0.5 O6 W0.5,6
Hg2 I1 O1,4
Co1.2 Mg0.8 O4 Sn1,3
Cd1 Se7 Tm4,7
Al3 Gd0.27 Tb0.73,4
Sc1 Se2 Tl1,3
Bi2 Pt3 Se2,3
Cd1 Mg1,2
Cl2 Nb1 Se2,5
Co3 Dy4,5
Ba1 Fe2 O12 Se4,11
Th0.51 Y0.49,1
Rh1 Sn2,4
Ca8 Li0.969 Mg2.031 Si8,19
N0.87 Sc1,2
Bi0.395 Co1.105 O4.498 Sr2.5,16
Ga1 Yb1 Zn1,2
F2 Na2 O5 Ta2,19
Ca1 Cu2 O3,4
Al0.96 In0.04 Ni3,2
Dy1 Ga1.7 Ni0.3,2
Ca0.5 O6 Si2 Zn1.5,7
Fe0.2 Nd1 Sn2,4
Ag7.48 Al12 O48 Si12,7
Cs3 Ge2 O11 U2,19
H2 Co2.39 Cu0.61 O9 P2,16
Bi0.62 Nb0.08 O4 Sb0.38 Ta0.92,4
C12 H37 B2 N5 Si2,20
Bi1 K3 Te3,5
La5 O9.25 S5 Ti3.25 Zr0.25,20
C8 H2.8 Br0.6 Mn2 O8 P1.4,20
Pb4 Tb5,6
Ba1 In1,3
Al1.06 Ce0.02 Na0.97 O4 Si0.94 Tb0.01,12
Cl2 N2 S2 Se1,14
H4 Al1 F4 N1,13
Lu1 Rh2 Si2,3
Bi0.67 S2 Ta1,4
Te1 Zr0.92,2
F1.6 O0.7 Sm1,4
Cd0.15 Pb0.85 Se0.15 Te0.85,2
H3 B1 Fe14 Y2,11
Fe1 Mo1 O6 Sr2,6
Al3.774 Gd3 N1.226 O12.774 Si2.226,13
H3 Be2.7 Ca3 O14 Si3.3,8
Cd1.79 O4.02 Sn0.89,4
Cu0.978 Ge0.022,1
Fe0.6 La1.4 Ni0.4 O4 Sr0.6,4
Fe0.12 Mg0.88 O3 Si0.98,4
Gd1 Mn1 Ni1,5
H2 Ag1 As3 Mn3 O12,12
Co0.7 Ga1 Mn0.3,2
Ba1 Fe1 Gd1 Mn1 O5,6
Mn3 O8 Ta2,8
K3 O12 S3 Yb1,19
K1.98 Sb8.02 Se13,20
Ni1 Zr2,2
Cu0.43 Li2.57 N1,3
H4 F1 Fe1 Na1 O6 S1,10
I2 Re6 Se8,8
Cr2 Hg1 S0.25 Se3.75,3
Al2 Er1 Ge2,3
Ba0.5 Co0.8 Fe0.2 O2.39 Sr0.5,3
Cu2 O6.11 Pr1.9 Sr1.1,6
Co0.5 Fe2 O3.96 Zn0.5,3
H8 Cl2 Co1 O8 Se2,11
C4 Ca1 Mg3 O12,7
F4 K1 Ti1,8
Cu3 P1 S0.71 Se3.29,6
In6 Si4 Y11,9
Ga1.44 In1.56 Rb2,4
H36 Al8 Ca4 O50 Si8,20
Ce0.6 Dy0.4 O1.8,2
C0.624 Fe17 Th2,6
H8.67 Al9.39 Ca19 Fe1.46 Mg2.52 O78 Si18,20
H14 Cu0.45 Fe0.09 O11 S1 Zn0.46,20
Ce0.318 Na0.682 Nb0.166 O3 Ti0.834,4
Ce11 Ge5.96 In4.04,9
Ba2.25 Cl1 La2.75 O12 Si3,7
O3 Pb1 Ti0.399 Zr0.601,4
Fe0.59 La0.63 O3 Pb0.37 Ti0.41,4
Mo1 O6 Rb1 Sb1,3
S3 Ta1 Tl1,5
In1 Tm2,3
Ga1 K1 Se4 Sn1,5
Cs3 O10 P1 U2,10
Co1 O6 Sb2,3
Lu13 Pd28.68 Zn24.32,9
Ag2.5 Cu2.5 Nd1,3
Fe0.97 Pd0.03,1
Fe2 O6.57 Sr2.75 Y0.25,6
Ca2 Fe1.3 O6 W0.7,6
Al0.676 Fe0.324 O3 Tb1,4
N3 O9 Yb1,13
Fe1 O6 Os1 Sr2,5
Au0.667 Cd0.333,1
Li2 Nb0.667 Ni1.333 O4,2
H12 Ba21 O5 Tl2,8
C1 Ga1 V2,3
Bi1.76 Fe0.928 O17.256 W4.405,4
C1 F4,3
Ag2 Eu1 Si2,3
Fe1 La0.9 O3 Pb0.1,4
Ba1 N0.25 Na0.21 Nb0.79 O2.75,3
Ca0.2 In2 O4 Sr0.8,7
H4 Al0.192 As0.768 O6 P0.232 Sc0.808,12
N3 Na3 W1,14
Ba0.2 Bi0.8 Co0.01 Fe0.99 O3,3
Hf1 S3 Sn1,5
Mn1 O4 Se1,4
Al1 Co4 Pr1,3
Cs2 O12 S5,9
Ag1.621 Bi9.379 Cu4 Pb2 S19,19
Cd2.523 Mg0.477 O8 P2,13
As3 Ca2,11
F1 K5 Mo4 O14,13
H4 Cd1 Na2 O10 Se2,10
Au1 Gd1 Tb1,3
Cu7.02 Gd2.72 P8,10
Ga2 Li1 Pd1,3
Ge30.4 P15.6 Te5.92,12
P7 Rh12 Tb2,5
In4 P6 Se18,6
Co1 Dy2 Ga8,5
Ce0.75 Th0.25,1
Gd0.98 Nb1 Nd0.02 O4,4
Al2 La0.75 Sc0.25,2
Cs2 Hf1 Mo3 O12,18
Ir7 Lu3 P5,19
O6 P1 Sr1 V1,9
H1 Al1.65 Ca1.3 Fe0.68 Mn0.67 O13 Pb0.7 Si3,19
Co6 Ho5 Sn18,10
Ca11 Sb10,9
Ag0.5 K0.5 Nb2 P1 S10,15
Fe0.37 Li0.94 Mn1.7 O4,3
Al2 Ca1 Pt1,3
Cr1 O6 Sm1 Te1,6
C18 H17 N3 O1 Se1,20
Mn1 O6 Pb2 Re1,3
Ba4 Ga2 Se8,14
Mo2 Na1 O12 P3,5
Cu0.5 La1 O4 Ti1,6
In4 Pd2 Pr1,20
F4 Li1 Mn1,4
Ag0.29 As1.73 Pb2.956 S18 Sb7.794 Tl1.23,20
Ce0.972 Th0.028,1
Bi6.32 Cu1.64 Pb1.68 S12,6
H2 B10 Ba2 Na2 O19,19
Nb2 Pd0.806 Se5,9
Ba1.78 Cu3 Nd1.22 O6.84,8
Ba2 In1.9 O5.1 V0.1,7
Cl1 Cr1.5 O12 Pb5 Si1.5,7
Cr0.066 Fe1.934 O5 Sr2,6
Li3.1 Nd3 O12 Sb0.1 Te1.9,5
F6 K3 Y1,6
C1 Ce1 Cr2 Si2,4
Ge2 I1 La3 S8,8
K4 Sn9,13
S0.963 Ta6 Te3.037,20
C0.05 B5.97 Yb1,2
Dy2 Mn1 Ni1 O6,6
F18 Mn4.5,2
Au3 Rb2 Tl1,5
Ba2.605 Pb1.39 S10 Sb4,20
Co2 Ge2 Ho1,3
Co0.114 Cr0.045 Li2 Mn0.621 Ni0.22 O3,6
Na1.84 O6 Sn1 Te1,4
Cl6 N1 S2 Sb1,5
H1 B1 In1 Na1 O9 P2,15
Am2 O3,3
Al1 Cu2 Re2,3
Ce1 Cu6 O24 Ti8,4
Al1.8 Si0.2 U1,2
Cu1.812 Ge1 Na0.188 O4 Zn1,9
Bi13 Co13 O40,6
Ce1 Sn1 Zn1,4
Ho1 O4 P1,3
In0.4 Sb1.6 Se0.6 Te2.4,3
F9 O6 Y7,13
Co2.08 Er6 Pb0.63,7
H3 Al3.294 Ca0.955 Fe1.236 La5.045 Mg0.33 Mn0.14 O31 Si7,20
As1.92 Eu1 Ni1.88,3
B7 Ba1 O15 Rb3 Te1,20
C2 Cs2 F4 O4 Pt1,9
C4 H14 Cu1 K2 N6 O8,18
C32 In4 O32 Re8,19
Sn0.85 Zn0.15,2
Cu8 Rb3 Se6,9
Ge1 I12 La7.72,6
As1 O1 Ru1 Sm1,4
Cu9.2 Dy1.9 Sn2.8,7
O4 S1 Sr1,5
Co3 Mo3 N1,4
Ce4 Eu1 Ge3,3
Li1.1 O4 Ti1.9,3
Ga4 In12 Ir2 O15,18
Co2.19 Er6 In0.81,7
Co0.43 S2 Ti1,6
C2 H8 Br3 Cd1 N1,15
Al12 Cs3.5 Na8.5 O48 Si12,9
Cd4 Cl3 P2,5
H10 Cu2 Ge1 O14 P2,15
Al2.43 Mg0.35 O4,3
C3 Al5.5 Co1.5 Mo6,5
Co0.313 Li1.06 Mn0.295 Ni0.313 O2 Zr0.019,3
H37 B4 Mn4 N7 O43 P10,20
Ba1 Ga4 S7,7
Ni0.5 Si1.5 Th1,2
Cs18 O6 Tl8,5
Lu5 Ru2,4
Ge3.93 Y3,5
Cd3 Cs3 O36 P12 V1,19
C6 H24 Cl9 Hg3 N3,20
Ce0.88 Ni4.28 Si0.96,4
B1 Lu5 Si3,4
Cr1.5 Te4 Ti1.5,4
Pb4 Sr5,6
Cl6 Cs2 Ho1 Na1,4
Bi2 Fe1 Ho6,4
Cl5 K2 N1 Os1,7
I1 Li1,2
Mn4 P2 U1,3
Li2 N5 Ta3,10
Ba1 Pd1 S2,3
Ga1 K1 S4 Sn1,5
C1.5 H6 Ag1.25 N0.75 Se3 Sn1,20
Ba1 Cr2 O7,20
In1 Na5 O12 Si4,15
K1 Li1 O6 P2,20
Nd1 Ru2,2
F6 K1 Rb2 Rh1,4
C1 K1 Li1 O3,6
Ba0.71 Co1 O3 Y0.29,3
As1 Na1 Ni1 O4,10
Ce0.7 Cu2 O10 Ru1 Sr2 Y1.3,8
Al0.16 Cu0.16 S1 Zn0.68,2
H4 Mn1.5 O9 S1.5,20
B2 Ce1 Ru2,6
Co0.333 Li1 Ni0.667 O2,20
Ce3 Ru1 Sn6,7
Ge10 Ho5 Ir4,7
Al2 Ba4 O7,19
Mg0.22 O6.89 Sm1.78 Ti2,4
K1 Mg1 O12 P3 Pb1 Ti1,9
Cu4 La3.4284 O10 Sr0.5716,5
As2 Ba1 Mn2,3
Br3 Cu1 Rb2,6
Mg1.6 Mn2 O4,2
Nb2 O7.8 Pb2.8,20
Al103.18 Mn25.6074 Zn23.1686,17
Ba0.4 O6 Sr1.6 W1 Zn1,5
Ba0.167 La0.833 Mn1 O2.5,6
H12 Cu1 K2 O14 S0.5 Se1.5,20
Ba1 Ca1 Si1,3
Cd1 I2,20
H8 Mo4 N2 O13,20
As1 Er1 Pd1,3
H4 F5 K1,4
Ba0.5 Mg1 O8 Si2 Sr2.5,15
Ag1 Pb1 Yb1,2
B1 Eu3 O9 W1,12
As2 K2 O10 Sn0.963 Ti1.037,16
Ca1.7 Fe0.3 Mg0.7 Na1.3 Ni1 O12 P0.2 V2.8,4
Bi2 La1 O9 Ti1.5 W0.5,9
Ba1 Ga12 O19,11
O3.67 Sb1.92 V0.08,5
Ba1 Nb5 O8,5
Mg4 O9 Sb2,3
Bi3 Cu1 Nd5,4
Fe3 N1.3,4
Eu3 Ga4 Ge6,13
Al22 In2.42 O34.8,13
Ga4 Sc1 Ti2,3
Ag18 Te11 Tl4,11
F6 Sn1 Tl2,3
Al3.5 Er3 Fe1 Ge2 Mg0.5,8
Ge3.37 Sb1.63 Te6,6
Pb0.67 Sb0.22 Se1,2
Hf4 N0.5 Ni2,4
H18 K2 Mo6 O30 Pt1,20
Ca2 Fe1 Mn0.5 O6 W0.5,6
Ba2 Cu2.02 Nb0.97 O8 Pr0.99,7
Bi23.55 O40 V1.97,5
C7 H20 N8 O12 S1 U1,20
Al1 B1 Be1 O7 Y2,6
Al3 B4 Bi1 Cd3 O15,10
Na2.3 Ni11.7 P7,9
C3 S8,11
O4 Ta0.14 Ti0.86 Zn1.93,3
Ba1 O12 U2 V2,9
O12 Se3 Yb2,17
Co1 Ge2 Lu2,5
Ba2 Cu1 Hg1.001 O4.14,5
Mg4 O21 P6 Rb4,17
Ba1 Bi4 O15 Ti4,13
Ba2 F10 I2 Pb4,6
C4 H136 Ce4 N2 Na18 O292 W72,20
Ca8 La1 O28 P7 Zn1,12
Mo3 O12 Rb2 Se1,8
Ba0.25 O3 Sr0.75 Tc1,4
C6 Cr19 V4,5
Mg1 Sn2 Y1,5
F0.4 Fe1 Na4.6 O8.6 P2,16
Ba1 Mg2,3
Li0.03 Mn2 O4,3
As1 Ce1 O1 Ru1,4
Au1 Ti1,1
Ba2 O20 Ti9,20
C7 H13 K2 O20 S4 W3,20
Ga2.79 N0.76 O3.05,3
In1 Nd4 Ru1,5
Ba1.328 Ce0.65 Cu3 Nd2.022 O8.75,8
Cu1 O2.61 Sc1,4
C1 Pb1 Sc3,3
Bi1 Sm2,4
Ni0.33 O2 Re0.67,2
Au1 Na1 Sn1,3
B4 La0.783 O12 Sc2.901 Y0.316,7
Er4 Ge4 In1 Ni2,6
P3 Rh4,7
Eu1 In1 Zn1,2
Mg1 Pd1 Yb1,3
Ba2 F1 Na1.5 Nd1.5 O12 P3,10
Ba2 Ho3 Li3 O32 W8,13
As3 W2,5
B1 Fe3,4
Hf2 Ni0.7 Ru0.3,3
Ba1 Cu1 Se3 Y1,5
Al0.96 K1 O6 Si2.04,10
C15 Al3 O18,13
Ba6 F34 Mg11,20
H3 I3 N2,7
H1 Al2.31 Ca2 Cr0.69 O13 Si3,19
Pr1 Te2 Tl1,3
C3 Tb2,2
Lu1 Pt2 Si1,3
As1 Pt5 Zn1,4
C2.8 La1.6 Th0.4,2
Cs2 Li1 O4 V1,7
Co2.22 La0.72 Nd0.18 Ni2.78 Si0.09,3
Al3 Dy2 Si2,4
Pd1 Se2,2
Cr0.07 P2 Ta0.93,3
F4 K2 Na1 Nb1 O2,4
Cu10 Ga7 U2,5
Ag0.317 Ga0.561 Te1,2
Ce0.4 Th1 Y0.6,1
P2 S6 Sr2,5
Dy2 O7 Tc2,4
Au12.94 Ca3.25 Ge5.06,10
Ba2 Cu3 Er1 O6.98,8
Ag1 Ba1 P1,3
C1 S2 Ta2 V0.25,4
Ba2 Cu1 O4.46 Sc1,6
Cr1 K3 Mn1 O8,9
Ni2 Sn1 Ti1,3
Ir32.5 P26 Sm15,20
Cl6 In0.6 Li2.6 Zr0.4,6
Na3 Nd1 O8 P2,20
Cu6 Nd12 O25,20
Er1 Ir1 Sn1,4
Cs1.36 O16 Ti8,4
Ba1 Cu3 Ho1 O6.24 Sr1,9
C3 B1 Cl1 Hg1 K1 N3,10
As4 Ba3 Sn2,9
Al0.74 Co1.26 Gd1,2
Ge1 Rh3 Sm2,3
Cd0.7 Cu2 Fe0.3 Se4 Sn1,4
Al1.92 Cr0.08 O3,3
Cs2 F6 Fe1 K1,4
Al1 Cl1 O6 Pb2 Te1,6
Ag0.94 Bi1 O1 S1,5
Bi3.55 Cs1 Sb0.45 Te6,20
P0.79 S0.21 U1,2
Fe2 O12 Pb1 Se4,11
Pt4 Sr5,6
H5 B3 O8 Sr1,17
Cr0.03 F6 Ga0.97 K3,4
H1 Al1.462 Ca1.058 Ce0.616 Fe0.538 Mn1.326 O13 Si3,19
Er2.98 Nd2.02 Si4,6
Mg0.96 Ni1.02 O4 Si1,6
Cu1 La2 O4.12,6
Nb0.118 O2.941 W0.882,3
Ag0.56 Bi6 Cu3.44 Pb2 S13,14
Fe0.32 Mg1.68 O4 Si1,8
Cl3 Nd5 O10 Te2,9
Ag0.99 Cl6 O2 W2,9
Bi0.4 Fe0.4 O3 Pb0.6 Ti0.6,4
La2 O9 Se3,8
F1.66 Nd1 O0.67,4
Bi1.8 Ga1.2 O7 Sb1,4
Cu1.6 Ge10.4 Mn20,4
Co0.6 Fe0.4 O2.7 Sm1,4
Ag0.35 Ca1 Cu2 La1.65 O6,5
Cu0.2 Dy1 Ga1.8,2
Ba0.8 Ho1 O6 Ru1 Sr1.2,4
Gd0.55 Na0.45 O3.92 W0.96,6
Ba1 Fe11.1 In0.9 O19,11
H2 Cl1 O2 Sm1,6
Cs1 Ge4 Li12 Na3 O16,9
Ag1.25 Au0.75 Se1,3
Cr1.1 Si1 V1.9,2
Co0.61 Fe0.39 Li1 O4 P1,6
Al1.5 Li2.5 N1 O3 Sr1,3
N2 Pr4 S3,10
H2 Fe1 Ti1,4
Al6 Dy1 Fe6,4
H10 As4 Ca3 Mg1.92 Mn0.08 O20,20
Ge1 K0.6 Na1.4 O4 Zn1,16
La0.25 Mn1 O2.38 Sr0.75,20
Al4 Ce1 Co1,5
Bi4 Cs1 Se1.02 Te4.98,20
Co1 La1 O2.925,3
Mn1.6 Si0.2 V0.2,5
H6 Al1 Ce1,3
C1 Mn4.6 Mo0.4 Si1,9
In3.091 Ir1 La1 Mg0.909,5
O2 Th0.475 U0.475 Zr0.05,2
Ce1 Co1 Si2,4
Al1 Er1 Pd1,3
As1 Cr0.929 V0.071,2
H1 Ca1 I1,3
Ce1 Sb2 Zn0.65,4
B2 Ce1 Ru1,3
Fe10 Ga7 Tm2,5
Hf9.4 Mo3.6 Se1,5
C4 H8 Co1 N2 O6,10
Fe1 Mn2 Na2 O12 P3,12
Mn3 N1 Ta3,4
Cr1 Cu1 Se4 Ti1,3
Al3 Ge4 Tb2,5
As1 Ru1 S1,3
Bi1 Co0.28 Fe0.72 O3,4
Bi0.5 Ca0.5 Co0.5 Fe0.5 O3,4
Rh0.9 Zr0.1,1
Cu5 Sm1,3
La0.92 Mn1 O2.88,4
Au1.3 In1 Pd0.7 Y1,3
I6 Rb4 Tm1,4
Ni0.09 Ru0.91,1
As1 Er1 Se1,3
Al3 B4 Ca3.195 Lu0.797 O15,9
C1 Li6 N1 P1 S5,9
O4 Sn0.64 Ti0.16 Zn2 Zr0.2,3
Co0.192 Li1.038 Mn0.289 Ni0.481 O2,3
Ga0.5 Li4.5 O6 Te1,6
Co2 Ge2 Y1,3
Ba2 Ho1 O6 Ta1,4
Ba8 Ge40 Zn4.6,6
Cu1 Ge1 Zr1,3
Fe1.68 Sn1,3
Eu0.05 In0.95 Sb1,2
C6 B3 I5 La9,13
K0.33 O2 Si1,10
Bi2.149 Ca0.2 Cu1 O6 Sr1.401,20
Bi0.21 Ga5.05 Gd2.79 O12.12,4
Mn2 Si2 Sm1,3
Cu0.8 Sc2 Si0.2,3
B10 Cs0.96 Li5.16 Se18,10
Ge1 V2.76 Zr0.24,2
Bi0.9 Sb0.1,1
K6.9 Sb16 Zn21,8
Ba0.33 Cr0.15 La0.67 Mn0.85 O3,3
Co1.333 Fe0.667 La1.333 O6 Sr0.667,5
H2 Br1 Cu1 K1 O6 Se2,8
Fe0.99 S4 Yb2,4
Cr2 Fe2 O5,10
Dy0.33 N21 Si11 Sm6,18
Co1 Ga3,3
Cu2.064 O12 Ta4,13
H10 Cl5 N2 O1 Rh1,8
P4 Tc1,5
Ce1 Fe1.7 Rh0.3,2
Pb1 Se4 Sm2,2
B2 Ca1 Rh2,3
Co0.2 Li0.34 Mn0.3 Ni0.5 O2,3
Nb2.666 O12 Sr5.333,5
Ge3 Pr1 V1,3
Fe1 Si1 W1,3
Ga2.67 Se4,2
Er1 Ni0.2 Sn2,4
C1.52 Cr3 N0.48,4
Al0.5 La1.5 Mg0.5 O4 Sr0.5,4
C3 H5 K1 N6,11
Al1 B5 Cs2 O10,10
Ca3 Cu2 Ni1 O16 P4,14
Al0.4 Co1.6 Y1,2
Fe0.834 Mn0.094 Ti1.012 V0.06,2
Mo21 Nd16 O56,20
Li3.2 Mo0.8 O4,2
Al2.817 Gd1 Ge0.183,2
Ca1.02 Co1 Nd0.98 O4,4
Ca1.92 F2 Mg5.08 O22 Si8,13
Na5 O16 Pr1 W4,8
Al0.5 F2 K1 Mg2.75 O10 Si3.5,8
Pr0.25 Tb0.75,1
Co1.8 Mn1.2 O4,3
In4 Ni1 Sr1,5
Cr2 N0.91,4
Ba8 Pd1 Se18.25 Sn4,20
Ag1 Bi0.5 Sb0.5 Te2,2
Se5 Th2,4
O15 P4 Si1 Y2,12
Co0.2 Fe0.8 K1 La1 Mo1 O6,6
Co1.5 Ni1.5 V1,4
Bi1 Li1 Nb2 O7,7
Ca2 Cu6 P5,6
As1 Hf1 Ru1,4
Al1.001 Ca1 Fe0.999 O6 Si1,6
Ba1 Ce0.7 O2.85 Y0.3,3
As3 Gd1 Mn3 Na3 O15,8
Ba1 Co2 Gd1 O5.19,6
Mo6 Pb0.92 S7.5,4
Sb1 Ti3,4
Al1.26 Ca0.256 Na0.744 O8 Si2.74,14
Bi1 O14 P4 Rb3 Sr1,20
Fe0.01 La0.67 Mn0.99 O3 Pb0.33,3
Ho1 Tl1,2
Er1 Ni1 Sn2,12
O3 Pr0.15 Sr0.85 Ti1,4
Cd1 Se0.7 Te0.3,2
Au1 K5 P2,5
Cr1 O3,4
Al2 Ca0.75 Fe1.88 Mg0.24 Mn0.1 O12 Si3,8
Al0.107 La0.288 O3 Pb0.646 Ti0.895,3
Cl6 Li3 Y1,8
La1 Mn1 Nd1 Ni1 O6,6
Ga10 Ni1 Pr3,8
Al3.24 Ca0.24 Cl1 Na3.76 O24 Si8.76,8
Nb1 Se2 Ti0.5,7
Fe0.61 La3 Se7 Sn1,6
Ca2.26 F2 O24 P6 Sr7.74,7
Al25.7 Au6.7 Ta1 Yb3,7
Nd0.3 O1.85 Th0.7,2
Mn0.3 Nb0.24 O2 Ta0.42 Ti0.02,2
C4.6 B2 La5,5
Gd0.01 O1 Zn0.99,2
Ag1 Cs2 I3,6
Mo4 O18 Rb6 U1,16
Re1.4 V0.6 Zr1,3
Bi3.9 Fe0.41 O10.55 V1.59,5
Bi2 Se8 Sn0.96 Sr3,14
Ca5.7 F1 Li42.7 N59 O2 Si30 Y3.3,20
Ga3.76 Ni1,4
Bi1.5 Er0.5 O3,4
Ga5 V2,3
Fe1.25 Ni0.75 O5.587 Pr0.3 Sr2.7,6
Ga6 Nd26 Ni11,13
H24 Cd1 Na3 O22 P3,20
Br4 O1 Rb6,4
Cl8 O4 Si4,8
Fe1.33 Nb2 Se10 Ta0.67,7
C18 H60 B2 F8 Ir2 O3 P6,20
Ba3 Na1 O9 Os2,6
Co12 Mn5 Y2,5
Ge2 Mn6 Sn4 Tb1,5
Gd6 Zn23,5
Ba1 Cu3 O7 Sm1 Sr1,7
Br1 Li6.125 P0.875 S5 Si0.125,6
Ba1 Cu2 O8 V2,9
H0.5 Ta1,2
Cl4 K2 Pd1,3
H1.61 Al0.33 La3 Li6.02 O12 Zr2,5
O3.777 Sr1 U1,4
Cu0.9 In0.9 Se2 Zn0.2,3
H4 B6 K1 O14 P1,9
K3 P1 S4,6
Ca19 Cu2 O56 P14,18
Ga1 Mn1 O5 Sr2,6
Al6.03 Eu3.6 Li1 N22.59 O6.82 Si13.78,20
Er1 Pd1,2
Br0.3 Cl1 Li5.58 P1 S4.7,6
Ga2 Pb1 Se4,4
Cr2 Cu0.5 Ni0.5 Se4,3
P4 S4,5
Pt1 Sb1 Se1,3
As1.5 O12 P1.5 Rb1 Zr2,5
Ni5 Si3 Yb1,9
C2 Mn17 Sm2,6
La1 Pd1 Sb1,2
Bi1 N1 Nd2,4
Ba2 Cu2.75 Fe0.25 La1 O7.03,10
C1 Au1 Cl3 S2,7
As1 Ni0.5 Rh1.5,3
Ga1 Rh1,2
Ba0.99 Fe6.02 O11 Zn0.94,12
Cr0.116 O7 Ti1.884 Y2,4
Sb4 V5,3
Nb2.4 O32.524 Si4 Sr0.12 Ti5.6,13
Br4 K2 Pt1,3
Ga17.3 Lu5 Ni14.7,20
Ge3.25 Nd1,5
Ca1 Cu0.3 Mn6.7 O12,4
Ce0.88 Cu2.04 Eu1.3 O10 Ru0.96 Sr1.82,8
Bi0.88 Fe1 La0.05 Lu0.07 O3,3
Au6.82 Sr2 Zn2.18,6
In0.6 Na1 O6 Sc0.4 Si2,6
La2.4 O7.87 U1.6,2
B6 Ba0.75 Sm0.25,2
Cu6.8 Fe1.2 La6.4 O20 Sr1.6,9
La0.5 Ni5 Pr0.5,3
Cr0.1 O2 Ti0.9,2
Cu8 O20 Pr5.2 Sr2.8,9
Ga0.38 In1.62 Se3,5
Be1 F4 Sm1,6
Mn1 Na0.05 O3 Pr0.95,4
Ca18 K3 O56 P14 Sc1,20
H9 Ce2 O16 P3,18
Ge2 Pd2 Sr1,3
Al4 Li9 Sn5,10
La0.5 Mn1 O2.88 Sr0.5,4
Er1 Pt1 Si1,3
Ca2.5 Fe15.5 O25,20
Na2 O8 Si3 Zn1,14
In2 O7 P2,11
Ba1 Ir0.75 Na0.25 O2.75,6
H2 O6 P2 Rb1 V1,8
Eu1 Ga1 Ge1,4
Cr1.4 Ni1 S4 V0.6,4
Ho1 Rh4 Si2,7
Co13 Er0.5 Fe1 Mn3 Pr1.5,5
Al3.234 Fe1.026 Si1.746,3
Ca0.75 P1 Pd3 Sr0.25,4
Ca0.5 La0.5 Mn1 O3,4
Co10.2 Er2 Fe6.8,6
K3 Na1 Se8 Sn3,7
La1.47 Mg1.53 Ni9,5
Ag1 F1 S1 Sr1,4
Fe2.946 O4,3
H1 Al0.05 Ca2 Fe1.71 Mg0.18 Mn0.06 O15 Si5,20
Bi4 In2 Pb4 S13,20
H30.92 Bi10.02 K2.27 N5.73 Na9.4 O100 S24,20
Ho1 Pt3,2
Cu3 La0.92 O12 Ru0.25 Ti3.75,4
Sb0.09 U0.91,1
Cd1 Cl1 Ga9 K4 Se16,20
C4 H16 Cl5 N2 O2 S2 Sb1,20
F7 I1 Xe1,5
Ca2 Ge1.255 O7 Si0.745 Zn1,12
Eu1 Na5 O16 W4,8
As1 Nd1 O4,3
C1 Ge3 Pr5,4
Ce0.5 Co5 La0.5,3
As3 Ca2 Mg2 Na1 O12,4
Al2 Ce0.2 Pr0.8,2
Hf9 Mo4 S1,5
Eu0.005 Li0.99 N3 Si2,4
Al3 Dy0.98 Gd0.02,4
B12 Li2 O23 Sr4,20
Mg4 Na1 O12 V3,8
Ga2 O11 Te4,17
Li2 Nd1 Sb2,5
