formula,target
Fe0.25 Nb0.79 O4 Ta0.21 U0.66 Y0.09,8.07
C1 Al0.74 W0.26,6.37
Co1 K2 S2,2.62
Al1 Pd1 Zr1,7.28
Co5 Nd0.333 Pr0.333 Sm0.333,8.45
Gd6 Ni2 Sn1,8.54
Ce1 Ge1 Pt1,10.91
Li1 Sb1 Se2,5.03
Ba0.4 O3 Pb0.6 Ti0.35 Zr0.65,7.22
In0.07 Mg0.93,2.2
Hf2 Rh1,13.08
Ca0.97 Co0.199 Mg0.831 O6 Si2,3.37
H2 As2 Fe1 O8 Tl1,5.0
H9 Nd1 O13.5 P3,2.68
Al2 Ce1 Pt1,7.81
N2 Sc1 Ta1,9.88
Al0.167 Cr0.833 Cu0.946 O2,5.31
Ni2 O8 P2 Sr1,4.39
Tb0.35 Te0.65,7.39
H0.27 K2.73 O40 P1 W12,6.3
B1 K1.776 Na1.224 O14 Si4 U1,3.47
Ga2 I2 Y2,5.48
C4 H5 Na1 O14 Rb2 Zn2,3.19
Ba1 Cu5.74 Se0.43 Te6.57,6.66
As1 Fe1 La0.9 O1 Y0.1,6.57
Mn1 Se0.5 Te0.5,6.09
Ir2 Np1 Si2,13.77
H7 K1 O15 P3 V2,2.74
Ce0.5 La0.35 O1.75 Sm0.15,6.64
Er4.364 Ga2.978 In2.658 S15,5.09
H8 Mg1 Pd2 Tb2,7.41
Cd1 Cu2 S8 Sn3,4.99
Cu0.817 Ga0.183,8.76
C1 Mo2 Pr1 Si2,6.93
Cd2 P2 Sr1,5.25
C16 H48 Ce1 I3 O8 S8,1.82
Ba2.62 Ge4 Sr0.38,5.32
Ge1 Pd8 Te2,10.86
H6.3 Co0.5 La1 Mg1 Ni3.5,5.98
Mn1 O3 Sm0.75 Sr0.25,6.87
Cu0.95 Ni0.05 Y1,6.07
Co4 Mn1 Si2 V1,7.4
Li5 Mn5 O24 Se8,3.92
Ca4.805 F0.981 O12 P2.784,3.1
In1 Pt1 Yb1,13.0
Gd1 O0.656,7.75
Ga67.00278 Li38 Zn34.05722,5.05
Rh2 Sn1 U2,12.9
Li0.1 Mg5.9 Mn1 O8,3.69
C2 H12 Co1 I4 N2,3.01
Co1 F4 K2 O1,2.84
F1 O12 P3 Sr5,4.17
C3 H7 N1 Ni1 O7,2.0
Ba3 Ir2 O9 Sm1,8.07
H0.207 Al0.322 Ca0.984 F0.173 Fe0.014 O4.827 Si1 Ti0.661,3.47
Al3 Co3 Si4,4.64
Au0.92 In0.08,18.35
Ba0.7 Fe1 La1.3 Mn1 O6,6.68
H12 Br1.5 Cl1.5 K1 Mg1 O6,1.91
Ba0.506 Fe0.757 La0.506 Nb0.271 O2.96,6.64
Mn0.379 Re0.621,16.66
