,formula,target
20358,Ge8 Mn5.33 Pd10.66,1
20359,Bi5 La3 Sc1,0
20360,As1 Cd1 K1,0
20361,Al17 Pd8 Si4,0
20362,O3 Pr0.13 Sr0.87 Ti1,1
20363,B16 Ir19 Mg10,0
20364,Sn4 Zr5,0
20365,K1.4 Mn1.4 O16 Ti6.6,1
20366,Pt50 Si16 Yb18,1
20367,Al1 B2 Co0.275 Fe1.725,1
20368,Nb0.6667 Nd2 O7 Y0.6667 Zr0.6667,1
20369,Ce1 Ir1 Pt1,1
20370,Al1 La1 Ni4,1
20371,B1 Mg1.68 O4 Ti0.33,1
20372,O7 Sn2 Tm2,0
20373,Cr2 Fe1 S3.2 Se0.8,1
20374,Ca0.15 Cu1 La1.85 O3.9095,1
20375,Ni10 P3 Sn5,0
20376,Nb1 Ru1 Si1,0
20377,Cd1 K2 O4 Si1,1
20378,S2 Sn1 Ta1,0
20379,C4 H16 Cs0.97 I1 K0.03 N8 S4,1
20380,Tl3 Yb1,0
20381,Cr3.6 In1 Li1 Mn0.4 O8,1
20382,Cr0.9 Li1.029 O4 Ti1.069,1
20383,Ba2 Bi1 Fe5 O13 Pb2,1
20384,Al0.4 Cr0.6 Li1 O4 Ti1,1
20385,Al6 Be1 O10,0
20386,O40 P8 Rb0.5 W8,1
20387,Fe11 O18.33 Pb2,1
20388,Co1 La0.5 Nd0.5 O3,1
20389,Al0.3 Co1 Fe1.7 O4,1
20390,C10 H18 Cu2 N2 O10,0
20391,La1.76 Ni1 O4 Sr0.24,1
20392,Se4 Ti5,0
20393,C2 Ta1 Zr1,1
20394,Ge3 Lu1,0
20395,H10 B12 Fe1 O24,0
20396,Cr0.3 Ni0.35 O7 P2 Rb1 Ti0.35,1
20397,B2 Cs2 O13 S3,0
20398,C2 Ca1 Fe0.13 Mg0.23 Mn0.64 O6,1
20399,Ba2 Lu1 O6 Re1,0
20400,Pr0.85 Pu0.15,1
20401,As2 Ho1 Ni4,0
20402,  H3.33 Al7.296 B3 Ca0.682 F0.669 Fe0.045 Li1.626 Mn0.027 Na0.248 O30.33 Pb0.009 Si6 Ti0.003,1
20403,Mg1 Zn5,0
20404,Eu0.25 Na0.75 Nb0.5 O3 Ti0.5,1
20405,Cu1 S2,0
20406,B1 Br17 Cs4 Zr6,0
20407,Fe11 Ga3 Nd6,1
20408,Ir1 Li2 Si3,0
20409,I7 Nb0.33 Ta2.67 Te1,1
20410,Ag1 Nb1 Rb2 S4,0
20411,Mn3 Nd2 S12 Sb4,0
20412,Ga2 Ni6 Tm3,0
20413,Cs1 Nb1 O6 U1,0
20414,C1.06 Al4 Fe13 Tb2,1
20415,Co1.25 O6.05 Sr3 Zn0.75,1
20416,Ir0.35 Os0.65,1
20417,Fe2 Mn0.2 O4 Zn0.8,1
20418,Cu2 Pd3 Se4,1
20419,La2 Na2 O9.23 Ru1 Ti2,1
20420,Eu0.01 N2 Si1 Sr0.99,1
20421,Ca0.1 Cr1 La0.9 O3,1
20422,Ba0.3 La0.04 Mn1 O3 Sr0.66,1
20423,Ga8 Ir3 Tb3,0
20424,Al1 B14 Lu1,0
20425,Mn1 O3 Pr0.46 Sr0.54,1
20426,Mg3 Pr1,0
20427,Co2 Na1 O4,1
20428,Ir7 Sc4 Si6,0
20429,Ga24 Pt9 Yb4,1
20430,La0.3 O3 Pb0.56 Ti1,1
20431,As1 Mn0.95 V0.05,1
20432,Bi12.39 Se30 Sn11.49,1
20433,Ce1 Cu2 Sn2,0
20434,Cu0.403 Mg1.8 Mo6 S8,1
20435,C66 Cu2 N12 O37 V10,1
20436,Fe1.75 Li0.5 O4 V0.75,1
20437,N1 V3 Zn2,0
20438,Fe17 N2.964 Th2,1
20439,Al1.16 Pt2.84,1
20440,Ba0.18 La0.67 Mn1 O3 Zn0.15,1
20441,Cu0.99 Ni4.95 Sn8.7 Zn3.96,1
20442,Li5 Mg1.02 N4 V1,1
20443,Li1 Mg1 P1,1
20444,C12 B9 La10,0
20445,Ba0.08 K0.46 Na0.46 Nb0.92 O3 Zr0.08,1
20446,O9 Pb0.98 Sr1.02 V3,1
20447,Co1 Ga12 U4,0
20448,La0.879 Mn1 O3,1
20449,O11 Sr3 Te4,0
20450,F20 Sb4 Se1 Te3,1
20451,C3 Nd0.2 Th1.8,1
20452,Al0.4 La1.6 Mg0.6 O4 Sr0.4,1
20453,H1.93 Pu1,1
20454,Co1 Cs2 Cu3 F10,1
20455,Ba2 Cl1 Mn1 O7 Si2,0
20456,Au7 Rb4 Sn2,0
20457,Cu0.067 O2 Sb0.133 Ti0.8,1
20458,P1 Ti0.28 W0.72,1
20459,Ag1 Cd3 F20 Hf3,0
20460,Al1.5 Ni0.5 Ti1,1
20461,B1 Cl1 Mg2 N2,0
20462,Se3 Ta2,0
20463,Cu0.768 Ga0.761 Se2 Si0.239,1
20464,Al4 Ca3 Mg1 O10,1
20465,Cr2 Mg2 O5,1
20466,Ba2 Co0.4 Cu2 Gd2 O11 Ti1.6,1
20467,Al2 Ca5 Sb6,0
20468,Cs2 O8 S2,0
20469,Ca0.75 Cu2 Nd0.25 O7 Pb0.5 Sr2 Tl0.5,1
20470,Ba2 Cu3 La1 O6.7,1
20471,Gd3 Ru1,0
20472,H2 Ca3 Pb1,0
20473,Ca0.2 Co4 Sb12.46,1
20474,P0.6 S0.4 U1,1
20475,La1 Ni0.8 O3 Te0.2,1
20476,Ba6 Cl6 F12 Mn2 Zn1,1
20477,Al12 K3 Na9 O48 Si12,1
20478,Ca2 O5 Tl2,1
20479,As5.51 Ce2.79 Pd20.7,1
20480,B1 S3 Tl3,0
20481,Ga4 Ni2 Sc1,1
20482,Ca1 Mn2 P2,0
20483,Ba1.5 Ca0.5 Cu3 La1 O6.9,1
20484,Fe1.36 Ga0.64 Sc1,1
20485,H2 Fe1 O5 V1,0
20486,Mn1 P1 Rh1,0
20487,As0.065 Ga1 P0.935,1
20488,Be2 V1,0
20489,C1 F2 Gd1 K1 O3,0
20490,Fe1 Mg1 O4 V1,1
20491,Ge1 Se1,0
20492,Na2 Ni1 O8 S2,0
20493,C4 H15 N2 O10 S2 V1,0
20494,Ca2.01 F1 O12 Si3 Sm2.99,1
20495,Li2 Mo3 O8 Sn1,0
20496,Ba2 Co0.207 Cu2.793 O7.16 Y1,1
20497,H0.26 Ba1 F0.22 O2.52 Ti1,1
20498,As3 Sc7,1
20499,Al7.2 Ca3.6 O96 Si40.8,1
20500,Al4 B6 Ba3 F1 K3 Li2 O20,0
20501,Al12.07 Fe4 Ti0.93,1
20502,Ge2.93 La1 Pd1,1
20503,Ce0.5 La0.5 Sn3,1
20504,Fe0.65 Mn0.35 O4 P1,1
20505,Ca0.59 Mg1.41 O6 Si2,1
20506,Au1 K1 Te1,0
20507,Gd1 In2 Ni1,0
20508,Bi0.85 Fe0.85 Gd0.15 O3 Ti0.15,1
20509,Ca0.75 Na0.25 O6 Sc0.25 Si2 Zn0.75,1
20510,Co1 Cs1 F3 O3 W1,1
20511,B4 Nd1 Rh4,0
20512,Ge5 Mn2 Nd4 O0.56,1
20513,Al0.088 Mg0.956 O3 Si0.956,1
20514,H8 Al1.638 Cr0.128 Fe0.378 Mg4.715 Ni0.011 O18 Si3.056,1
20515,Nb1 O4 Y0.85 Yb0.15,1
20516,Al3.3 Pr6 S14,1
20517,Cr1 Ge0.5 Ni0.6 O4 Zn0.9,1
20518,Cu3 La1 O12 Ru3 Ti1,1
20519,Co1 O4 Se1,0
20520,Li6 O7 Tb2,0
20521,Cr1 S17 U8,0
20522,H12 Mn2 N4 O8 Zn1,0
20523,Lu5 Mo2 O12,1
20524,C6 H18 Cl2 Mo1 P2,0
20525,Ca0.5 Lu0.5 Mn1 O3,1
20526,Co1.67 Gd6 Si3,1
20527,Ni1 O8 Re2,0
20528,Na0.75 Nb0.5 O3 Pr0.25 Ti0.5,1
20529,Ge2 Rh1 Y1,0
20530,Sn6 V6 Y1,0
20531,As6 Be2 Ca3 O20 Si2 Ti1,0
20532,Eu1 Ru2 Si2,0
20533,Au10.2 Gd4 Mn2.8,1
20534,Bi1.6 Mg0.8 Nb1.4667 O7 Zn0.1333,1
20535,C2 Ta0.92 U1.08,1
20536,Lu1.12 O5 Sc0.88 Si1,1
20537,As3 Bi2 K3 O12,0
20538,Ca10.062 O28 P7 Yb0.293,1
20539,Ag1 Te2 Tl1,0
20540,Au0.51 Pd1 Sn1,1
20541,Ba1.6 Ca0.2 Cu3 Nd0.4 O7 Y0.8,1
20542,Al0.43 Na1.71 O4 P1,1
20543,F2 O11 Si3 Y4,0
20544,C16 Cl24 Cu1 Nd2 O22,0
20545,H12 Cu1 O14 Rb2 Se2,0
20546,Bi0.8 Sb0.2,1
20547,Cs2 Hg1 Se8 Sn3,0
20548,Ba0.85 Cr4.72 Fe3.54 K0.12 Mg0.72 O19 Ti3,1
20549,Fe1 Li2 S1.8 Se0.2,1
20550,H14 Mg0.1 Mn0.9 O11 S1,1
20551,Li2 Ni1 O2,0
20552,Am1 Br3,0
20553,Ba0.69 O4 Pb0.31 S1,1
20554,Ba6.86 Br1.4 Cl0.6 F12 Na0.2,1
20555,H18 Cu1 O24 P4 Rb2 Ru2,0
20556,H6 Fe3 K0.11 Na0.85 O14 S2,1
20557,Cd2 Th1,0
20558,B2 Na2 S5,0
20559,In2.67 Pt5.33,1
20560,Co1.5 Cr0.5 Zr1,1
20561,Ca1 Cd2 Sb2,0
20562,Ca8.662 F2 Na0.514 Nd0.818 O24 P5.68 Si0.32,1
20563,C2 H2 O9.65 Pb1.65 U1,1
20564,Fe4 P2 Sc1,0
20565,Cl2 Cu1 O2 Sr2,0
20566,Co0.95 La1 Mg0.05 O3,1
20567,Mg1 Na1 Sb1,0
20568,Ba1 Cu1 O6 Sr1 Tl2,1
20569,H5.1 Cs2 Ga6 O27.55 P6,1
20570,Al3 Fe11 Pr4 Sc2,1
20571,Be3 Ti1,0
20572,Eu0.025 O4 Ta1 Tb0.025 Y0.95,1
20573,Ca0.5 Fe0.73 Mn0.27 O2.68 Sr0.5,1
20574,Ba1 Mo2 O11 Se2,0
20575,Eu3 O6 Ta1,0
20576,H7.88 F1 K0.03 N1.97 O3 P1,1
20577,C10 H40 Cd3 Cl11 N5,1
20578,Ba0.248 Cu0.04 La0.752 Mn0.96 O3,1
20579,Cu2 Si2 Sm1,0
20580,P2 Se6 Tl1 Y1,0
20581,Al2 Er2 Fe15,1
20582,Cl1 La1 O4 S1,0
20583,Dy1 Fe6.4 Sn6.3,1
20584,Li1 O3 Sb1,0
20585,Ba1 Be20 N14,0
20586,N2 Pr4 S3,0
20587,Co0.1 Mn2.9 O4,1
20588,H1 O5 Pr1 S1,0
20589,B4 Ca3 O12 Tb2,1
20590,C0.3 H0.08 N0.6 Ti1,1
20591,Ag1 Br14 W6,0
20592,Ag0.02 Cd0.99 O1,1
20593,H2 Al0.88 Ga1.62 Ge3.5 K0.98 O12,1
20594,C0.45 Al4 Fe0.09 Mg1.91 Na0.05 O18.9 Si5,1
20595,Ag1 Rb3 Se12 Ta2,0
20596,Ce4 Ga17.76 Ni1.24,1
20597,Er3 Pd5,0
20598,Ba1 Co1 O3,0
20599,Ba5 Ca1 Ga1 Nb9 O30,1
20600,Co4 In10 Zn2.066,1
20601,Nb6 S8 Sn1,1
20602,H1 O6 Ta1 W1,1
20603,B1 O2 Se1 Y1,0
20604,Mn2 Ru1 Si1,0
20605,H2 Eu5 Si3,0
20606,Ag0.9 Bi0.7 Nb0.1 Sb0.3 Se2,1
20607,B7 Ho3 Mn1,0
20608,As0.62 Pd8 Sb2.38,1
20609,H8 Fe1 Na2 O12 S2,0
20610,Gd1 Ge0.9 Pb0.1 Ti1,1
20611,Fe0.66 Mo3 S4,1
20612,Cu0.85 F3 K1 Mg0.15,1
20613,Ca2 Li1 O10 Ta3,1
20614,Li1.14 O4 Ti1.8,1
20615,Dy1 Ge1 Ti1,0
20616,B3 La0.19 O9 Sr3.81,1
20617,Al2 Mg0.74 Mn0.26 O4,1
20618,K0.25 La0.75 Mn1 O6 Sr1 Ti1,1
20619,Al4 Fe0.86 Mg1.14 O18 Si5,1
20620,C18 H42 Al1 Cl3 N6 O18,1
20621,O6.964 Ti1.928 Yb2.072,1
20622,Al12 Ca8 Mo2 O32,0
20623,Ba3 Ni1 O9 Os2,1
20624,H12 B12 F2 K2 O1,0
20625,B2 Mo2 Nb1,0
20626,Co0.5 Nb2 Ni0.3 O6 Zn0.2,1
20627,La3 Ni2 O6.84,1
20628,Ga3 O7 Sr1 Y1,1
20629,C18 Cl2 Mn4 O18 Sn2,0
20630,F1 N5 S4,0
20631,Ga0.88 Ge5.12 Mn6 Sc1,1
20632,Al1 Sc2 Si2,0
20633,Ag1 F10 P1 Xe2,0
20634,C1 Zn3 Zr3,0
20635,Ca2.71 Mg0.29 O8 P2,1
20636,Br4 Re6 Se7,1
20637,Ba1 Ca1 Co3 Fe1 O7,1
20638,Cl1 F8 Nb1,0
20639,Mo1 O4 Pb0.5 Sr0.5,1
20640,Al0.855 Ge0.145,1
20641,As3 Ho1.25 Ni4 Zr0.75,0
20642,Ca1 Mg0.26 Ni0.74 O6 Si2,1
20643,Au1 Rb2 S4 Sb1,0
20644,Ga6 Mn1,0
20645,Ag0.167 Ga0.167 Ge0.833 S2,1
20646,C0.05 N0.77 Nb0.83 Ti0.17,1
20647,Ba1 Ca1 Cu3 La1 O6.38,1
20648,K1.15 O16 Ti8,1
20649,Al2 Ca0.3 Gd2 O7 Sr0.7,1
20650,Al43 W4 Y6,0
20651,Fe17 Yb2,0
20652,O28 S8 Si1 Sr2,0
20653,Ge8 Lu4 Ru1,1
20654,B2 Ru2 Sm1,0
20655,Fe0.228 Li0.9 Ni0.912 O2,1
20656,Ca1.5 F1 O6 Ta2,1
20657,Ag2 Mg1 S8 Sn3,1
20658,Be1 Si1 Zr1,0
20659,Co1 Nd0.9 O4 Sr1.1,1
20660,B0.018 Ca0.916 Mg0.926 Na0.066 O6 Si1.96 Ti0.086,1
20661,Al1 Eu0.04 O3 Y0.96,1
20662,B4 W1 Y1,0
20663,Br1 Mo1 S1,0
20664,Co0.875 Li0.125 O1,1
20665,Ba1.3 Cu3 La1.7 O7.3,1
20666,Ca3 O7 Si2,0
20667,Cu1.02 Mg0.066 Mo6 S8,1
20668,Rh4 Sc5 Si10,0
20669,Au3 Sr7,0
20670,F4 Ti1,0
20671,Ga0.76 Nb0.24 Ni3,1
20672,Co1 P2,0
20673,Au1 Gd0.371 Mg1 Y0.629,1
20674,Co0.8 O6 Sb1.2 Sr2,1
20675,C4 H8 Mg1 N2 O6,0
20676,C12 H36 I4 Ni1 O6 S6,0
20677,Al2 Pd0.6 Si0.4,1
20678,Ge1 Hg1 Se4 Sr1,0
20679,La1 Li3 P2,0
20680,Ce1 Cu3 O10 Pb2 Pr1 Sr2,1
20681,Rh1.398 Te2,1
20682,Ca1 Ce0.6 Mn0.4 Nb1 O7 Sn1,1
20683,Pd2 Sn1,0
20684,H4 B1 F1 N1 O4 P1,0
20685,Eu4 K2 Na2 O13 Ta2,0
20686,Ba4.32 Ca0.68 Cl1 O15 Re3,1
20687,Ba1.2 Ir1 O6 Sr0.8 Y1,1
20688,La1 Mn0.5 Ni0.5 O3,1
20689,Ba2 Cu3 Nd0.7 O7.022 Pr0.3,1
20690,Nb0.3335 O2 Sn0.125 Ti0.375 Zn0.1665,1
20691,As1 Hg1 K1,0
20692,P1 Ta1,1
20693,Be1 Cs2 F4,0
20694,Al0.15 Co0.15 Li0.99 Ni0.71 O2,1
20695,Ce1 Dy4 S7,1
20696,Co0.5 Si0.2 V0.3,1
20697,Au2 P2 Tl1,1
20698,Cr1 Ga2 S4,0
20699,Cd0.3137 K1.5 Na0.396 Tl6,1
20700,F4 K6 O6 Ta2,1
20701,Fe1.1 Mo0.9,1
20702,In3 Sr1,0
20703,Fe3.5 Ga0.5 N1,1
20704,Bi0.67 F2.67 Pb0.33,1
20705,Dy44 Ru25,0
20706,Ge6 Ho2 Pd1,0
20707,Co1 Nd1 Si3,0
20708,Ba1 Ni2 O8 V2,0
20709,O3 V2,0
20710,H2 Ni1 O5 Se1,0
20711,B1 Mo1,1
20712,C1 H9 Cl3 Cu1 N4 O1 S1,0
20713,Ce1 Tl3,0
20714,Ce2 Mn11 Ni11,1
20715,Hf9 Se1 W4,0
20716,I1 O3 Rb1,0
20717,Al6 Na8 O30 S2.55 Si6,1
20718,Ca1 Cl2 O6 S2,0
20719,Bi2 I1 O4 Y1,0
20720,La9 Li1 O26 Si6,1
20721,La1.4 Ni1 O4.16 Pr0.6,1
20722,C8 H32 Co1 N2 O10 S4,0
20723,Ag18.5 Al47.5 Yb8,1
20724,O6 Pd1 Sr4,0
20725,La0.8 Mn1 Na0.05 O3,1
20726,C3 H11 F2 Mo1 O4 P1,0
20727,K5 N12 Ni2 O24 Y1,0
20728,Na1 Nd1 O8 W2,1
20729,I6 In1 O18 Rb3,0
20730,Re1 Ta1,1
20731,Gd1 Mg1 Na1 O6 W1,0
20732,B1 Cl12 Sc7,0
20733,In2 Ni3 S2,0
20734,Fe0.905 Si0.095,1
20735,Ca2 La1 O6 Ta1,1
20736,Co4 Ge7 Zr4,0
20737,Au2 I10 Tl6,1
20738,Cu1 In1 O5 P1,0
20739,Bi1.434 Ca0.565 O6.938 Ru2,1
20740,Fe1.742 Mg0.145 Mn0.113 O4 Si1,1
20741,O28.8 Pb7 W8,1
20742,Cr1 N3 Th2,0
20743,Ba0.097 Sn3 Sr0.9,1
20744,Ir3 Si5,0
20745,Er3 Ga8 Rh3,0
20746,C5 Fe1 N6 O1 Pb1,0
20747,Ge2 Mn2 Pr1,0
20748,Nb0.25 Tc0.75,1
20749,B14 Ga3 Ni27,0
20750,Cu1 La2 O6 Sn1,0
20751,Ca0.15 Cr1 La0.7 O3 Sr0.15,1
20752,Cr1 Cu1 O3 S1 Sr2,0
20753,Fe1 La6 S14 Si2,1
20754,Ga0.82 Ni1 Si0.18,1
20755,Cd3 Sb3 Tl2,0
20756,C6 Dy12 I17,0
20757,Ba2 Cu3 O6.95 Y1,1
20758,Al1 F6 Na1 Rb2,0
20759,As1 Nb3 Te3,0
20760,Fe0.6667 Ga0.6667 In0.6667 O3,1
20761,Ce3 Ni0.88 Si3.12,1
20762,Au4.6 Ba8 Ge40.3,1
20763,Ga1 Li0.914 Na0.086 O6 Si2,1
20764,La1 Li2 N1 O6 Ta2,1
20765,Ca0.75 La0.25 Mn1 O3,1
20766,Li1.01 Ni0.99 O2,1
20767,La1.86 Ni0.87 O5.93 Ti1.13,1
20768,Mn1 O4 Pr1 Sr1,1
20769,Cl2 Cu2 O6 Pb1 Se2,0
20770,As2 O8 Sr3,0
20771,H4 K2 N2 O2 Si1,0
20772,Al1 B1 O4 Pb1,0
20773,Cu1 S3 Sc1 Sr1,0
20774,Co0.3 Mn0.7 O3 Tb1,1
20775,Ag1 Cu4 Gd1,0
20776,P2 Th1,0
20777,Bi6 Cl4 Na1 O7.5,1
20778,S2 Se1 Sn2,1
20779,Co0.202 Li0.994 Ni0.798 O2,1
20780,Ba0.7 K0.3 O3 Sb1,1
20781,Ce0.95 Pr0.05,1
20782,Cu2 Rb2 S5 Sb2,0
20783,Cu0.853 Mg0.257 Mo6 S8,1
20784,K5 Mn3 O6,0
20785,Co1.125 Li3.75 O6 Ru1.125,1
20786,Ce0.1 Cr0.5 La0.65 Mn0.5 O3 Sr0.25,1
20787,Co0.8 Fe0.2 Gd0.9 O3 Sr0.1,1
20788,Bi1 Mn1 O5 V1,0
20789,Mg0.6 O5 Ti2.4,1
20790,Fe1 Li2 P2 S6,1
20791,Ba0.273 O3 Sr0.727 Ti0.344 Zr0.656,1
20792,B9 K3 Li3 O27 Y7,0
20793,Fe1 Ni3 Si1 Sm1,1
20794,Al2 Ca3 O12 Sn1.8 Ti1.2,1
20795,C0.4 Yb1,1
20796,C2 B2 Pr1,0
20797,Ge2 Ru2 Yb1,0
20798,H50.06 In8 Na4.11 O74.03 P14,1
20799,Ba2 Cu2.975 O6.9 Y1 Zn0.025,1
20800,La1 Ni4.7 Sn0.3,1
20801,Al4.29 Co1.56 Mg0.44 O18 Si4.71,1
20802,Mo0.025 Pd0.975,1
20803,Ru0.15 W0.85,1
20804,Ge1 Mn1 Zr1,0
20805,As2 Ca1 Co2,0
20806,F6 Na2 Si1,0
20807,Bi0.5 Ca0.5 Co0.5 Fe0.5 O3,1
20808,B1 Cr3 Fe11 Pr2,1
20809,Cu0.1 O4 W1 Zn0.9,1
20810,Ga5.48 La3 Nb0.52 O14,1
20811,Be0.12 Mo1 Si1.74,1
20812,In2 Pd1 Sr1,0
20813,Ba1 Co0.87 Fe0.86 O7 Y1 Zn2.27,1
20814,Mn1 O3 Sm0.75 Sr0.25,1
20815,Au0.85 Sc6 Te2,1
20816,Al1.59 Li1.03 Mg0.6 Zn1.78,1
20817,Mo6 S6.776 Te1.224,1
20818,O6.77 Os2 Tl2,1
20819,C17 Fe5 Ni1 O16,0
20820,Cl3 V1,0
20821,Cs2 O18 P6 Zn2,1
20822,La0.1 O3.81 Sr1.9 V1,1
20823,Lu3 Ni6 Si2,0
20824,H0.12 O6.2 Sr3 Ti2,1
20825,Al0.62 N16 Si11.38 Sr0.31,1
20826,Ca1 F8 Hf1 Li2,0
20827,La1 Mn0.5 Ni0.5 O4 Sr1,1
20828,Ba1 Mn1 O4 Rb1,0
20829,F5 Fe1 Rb2,0
20830,Al0.1 Hf0.9 Mo2,1
20831,O50 P4 Pb0.66 W14,1
20832,Ag0.495 Cd0.505,1
20833,H12 B12 Br1 Cs3,0
20834,As1.68 Cu11.62 Hg0.2 S13 Sb2.32,1
20835,Fe0.9 N2 W1,1
20836,Ge0.04 S1.945 Ti1.204,1
20837,Ce18 O57 W10,1
20838,Ce2 O7 Si2,0
20839,Al0.33 Cr0.53 Mo0.14,1
20840,Al1.981 Fe0.371 Mg0.649 O4,1
20841,Co0.5 Fe0.5 La0.6 O3 Sr0.4,1
20842,Ba1 Co3.07 O7 Y1 Zn0.93,1
20843,Ga1.74 In2.92 S7,1
20844,Cu0.8 Ga1.2 Y1,1
20845,Br1.85 I0.15 Sr1,1
20846,Co0.5 Cu0.5 Nd1 O3.876 Sr1,1
20847,Cr2.2 Si1 Ti0.8,1
20848,Ba1 Fe11.9 Gd0.1 O19,1
20849,Cr0.968 S2 V0.812,1
20850,Ca1 Pd1 Si1,0
20851,Cu1.82 O4 Y1,1
20852,H1 Ni1 Ti2,0
20853,Eu2 Ge1,0
20854,Ba1 F6 Rh1,0
20855,Fe4 O11 Sr4,0
20856,Si1 Ti0.51 V2.49,1
20857,Ba2 Cu2 Fe1 La1 O7.4,1
20858,B10.3 Li1,1
20859,Mn6 Sc0.35 Sn6 Yb0.65,1
20860,La0.7 Mn0.95 O3 Sn0.05 Sr0.3,1
20861,C6 Br20 Pr14,0
20862,Ag3 Ba3 In1 Te6,0
20863,Na1 Ni7 O23 Sr12,1
20864,C2 H6 Mn1 O7,0
20865,Cu4 Mg1 Y1,0
20866,Cl6 K3 Rh1,0
20867,Cl5 Cu5 O4 Se1,1
20868,Cr1 O7 P2 Rb1,0
20869,Eu3 Mg15.55,1
20870,Ga2 Ho1 Ni1,0
20871,Nb2 Pd1 S5,0
20872,F2 Np1 O2,0
20873,H2 Ca5 Ge3,0
20874,Ag1 Mo1 Na1 O4,1
20875,Mo0.98 O4 Sr0.936 Tb0.036,1
20876,Dy0.7 Fe1 La0.3 O3,1
20877,Ba2 S5 Ta1,1
20878,Co7 Mg44,0
20879,Ba1 Bi0.2 O3 Tb0.8,1
20880,Co1 Pb3 Zr5,0
20881,F6 Pd1 Pt1,0
20882,H8 Ni1 O10 P2,0
20883,Ba0.15 Fe0.1 La0.85 Mn0.9 O3,1
20884,Mg0.34 Na0.66 O2 Ti0.66,1
20885,Ba4 Mn2 Na1 O9,0
20886,Ge2.5 Si2.5 Ti3 V3,1
20887,O4 P1 Tl1,0
20888,Co1 Ga8 Tm2,0
20889,B2 Gd1 Os1,0
20890,C1 F2 K2 O6 S2,0
20891,Rh1 Se1,0
20892,B2 Co3 Tb1,0
20893,Al37 O144 P33 Si2,1
20894,F3 K0.3 Nb1,1
20895,Ce10 O3 Si8,0
20896,B4 Bi0.037 Fe3 Ho0.963 O12,1
20897,Al1 Cr2 Li2 O8 Sb1,1
20898,Bi0.5 Cl6 Cs2 Sb0.5,1
20899,Pt1 Si1 Yb1,0
20900,O6 Pb2 Sn2,0
20901,Co0.06 Cr0.94 Cu1 O2,1
20902,C0.95 Ta1,1
20903,C3 B1 F1 K1 N3,0
20904,Mg0.167 O1.2 Ti0.167 Zr0.667,1
20905,C0.889 Ba1.11 Cu1.111 O4.989 Sr0.89,1
20906,Al4.08 Fe12.92 Tb2,1
20907,Ni2 Sb1 Zr1,0
20908,H2 As1 Mn1 O5,0
20909,Al1 F6 Li1 Yb1,0
20910,Fe4 Si9 Y2,1
20911,As1 Mg1 Na1,0
20912,Al1 N2 Ti1,1
20913,C2 Ag1 K1 N2 S2,0
20914,Cr1 La1 Mn1 O6.95 Sr2,1
20915,Ce3 O5,1
20916,Ce2 Ni7,0
20917,Ba0.175 La0.825 Mn1 O3,1
20918,Cs1 Mg2 O10 P3,0
20919,Cr2 Ga0.67 S4,1
20920,Au2 O8 Sr5,0
20921,  As0.778 Dy0.065 Er0.04 Gd0.039 Ho0.034 Lu0.014 O4 P0.196 Si0.026 Sm0.01 Th0.025 Y0.742 Yb0.03,1
20922,As0.88 Mn1 P0.12,1
20923,P1.4 Se0.6 Zr1,1
20924,Al10.26 Gd0.58 Mg0.74 O17,1
20925,F15.04 Ge7.55 Mg28 O32,1
20926,Al1 Mo4 S8,0
20927,C8 H46 Mo9 N2 O27 S8,1
20928,Cu1.5 Li1.5 Sb1,1
20929,Al0.8 S2 Zn0.8,1
20930,Gd2 O7 Zr2,1
20931,Ba1.94 Cu3 O7 Sm1,1
20932,Mg4 Mn6 O15 Rb1,0
20933,La0.7 Mn1 O2.5 Sr0.3,1
20934,B9.8 Ni28.85 Sc4,1
20935,B4 Ca3.41 Ga3 O15 Sm0.02 Y0.57,1
20936,Al1.99 Ca3.006 Fe0.012 O12 Si3,1
20937,Ga5.28 La3 O14 Si0.48 Ta0.24,1
20938,Al7.17 Ba4,1
20939,Al7 N5 O3,1
20940,H10 N3 O8 P3,1
20941,Co1 Er1 Ge1,0
20942,Eu1 F1 Mn1 Sb1,0
20943,Ag0.627 Ce3 Cl0.37 S6.63 Si1,1
20944,Ni3.02 Si0.98 Ti2,1
20945,Rh1 Tc1,1
20946,Gd23 N5 Se27,0
20947,Eu1 Ir1 Sn2,0
20948,Ca1.905 Eu0.095 F1 Na1 O10 Si4,1
20949,Er1.8 La0.2 O3,1
20950,Cu2 S7 U3,0
20951,Al0.75 Hf1 Zn1.25,1
20952,C14 H28 Co1 Li1 N8 O2,0
20953,F6 K2 Mn1,0
20954,Lu1 Rh2,0
20955,As4 Ir1.38 Pt0.74 Rh0.8 Ru1.08 S4,1
20956,Ba2 Bi1 Ga11 O20,1
20957,Br4 K2 Pd1,0
20958,Ca0.488 Fe1 Na0.512 O6 Si2,1
20959,Ce2 Fe17,0
20960,C2 Cd1 O4,1
20961,Mo27 Rb5 Se31,0
20962,O2 Sm2 Te1,0
20963,F3 Na1 Ni1,1
20964,Mg0.264 Nb0.636 O3 Pb1 Sc0.1,1
20965,I6 Rb2 Sn1,0
20966,Cd0.5 Te1 Zn0.5,1
20967,As3 Sc5,0
20968,Co0.5 Eu2 Fe1.5 O7 Sr1,1
20969,Co1 Nb1 Te2,0
20970,Cl1 Mo1 O5 P1 Rb1,0
20971,Al0.333 B2 Nb0.667,1
20972,Fe1 Na1 O4 Ru1,1
