,formula,target
149,As1 Fe0.88 Ni0.12 O1 Sm1,1
150,Cu2 Nb1 O7.92 Sr2 Y1,1
151,Bi8 Mn4 O25 Sr8,1
152,C3.15 H8.15 Mn1 N1.85 O6,1
153,C4 Cl3 Co1 O4 Sn1,0
154,F20 Sb4 Se4 Te2,0
155,Au0.71 Hg0.29,1
156,Al0.5 Er1 Fe1.5,1
157,C0.2 Ce2 Ru4 Si3.8,1
158,Bi14 Mo1 O24,1
159,C1 Fe17 Y2,1
160,Al1 Ge1 Lu1,0
161,Ag1.6 Eu1 Ga0.4,1
162,Cr0.05 Mn0.95 O3 Y1,1
163,Cu1.5 O6 Ta1 Ti1,1
164,Li0.67 Mn0.75 Ni0.25 O2,1
165,Ag2 O4 W1,0
166,Cl2 O8 Sr1,0
167,Ce0.95 Gd0.05,1
168,C6 I17 Pr12,0
169,H1 B2 Cs1 O9 P2,0
170,O3 Ta0.6 Th0.15 W0.4,1
171,Ge1 Si1 Ta1,1
172,Ag3 P2 S8 Y1,0
173,Lu6 Mo1 Sb2,0
174,Ho6 Mn23,0
175,F0.667 Li2.668 Mg0.667 Nb0.667 O3.335,1
176,O17 P2 Rb3 V1.63 W2.37,1
177,Li0.39 Mn1.54 Ni0.46 O4,1
178,Ni1.53 Sb1 Te1,1
179,Ge10 Ni4 Yb5,0
180,Ce2 Ge2.92 Pd1.08,1
181,Pd0.845 Zr0.155,1
182,Cr0.5 Fe0.5 O3 Yb1,1
183,As2 Nb6 Te6 Tl0.48,1
184,Rh1 Y3,0
185,As1 Mn2,0
186,Ca0.73 Cu2 O3 Sr0.97,1
187,Ge4 S10 Tl4,0
188,Al1 Cu1.2 Mn1 Pd0.8,1
189,Cr1 La0.25 O3 Sm0.75,1
190,O2 Rb1 Yb1,0
191,Al0.414 Ca3 Fe1.799 O12 Si2.736,1
192,Co1 K2 S2,0
193,H3 La2.955 Li3.765 O12 Ta1.102 Zr0.898,1
194,Ge13 Pt4 Yb3,0
195,Cd0.49 Cr1.44 Ge0.49 Se3.2,1
196,Cu2 Dy1 Ge2,0
197,Ba2 Cu3 Na1 S5,0
198,Ge6 Pr3 Pt4,0
199,O9 P2 U2,0
200,Cs2 Fe2 K4 O5,0
201,C6 H18 Cl2 N4 S2 Se2,0
202,Fe2 K1 Li3 Na2 O30 Si12,1
203,H6 Li1 O6 Sb1,1
204,Fe1.2 In0.8 Mn1 O4,1
205,Cr5 S3.084 Se4.916 Tl1,1
206,H46 Co2 F18 N10 O8 Zr3,1
207,Bi0.57 Ni0.285 O3 Pb0.43 Ti0.715,1
208,K3 O13 Si2 U3,0
209,Fe0.8 La0.8 Na0.2 Nb4.2 O15 Pb2,1
210,H3 Al7 Cu16 Zr6,1
211,Ca4.25 F1 Fe0.18 Na1.57 Nb0.57 O17 Si4 Zr1.43,1
212,Ge3 Ho1 Ni0.77,1
213,C1 La9 O4 Sb5,0
214,Au0.92 Ga0.08,1
215,Co1 Na0.67 O2,1
216,Cd0.5 Ce0.6 Cu2 Ho1.6 O9 Pb0.5 Sr1.8,1
217,Ag2.72 Ca7 N4,1
218,B2 Cu3.07 Mn2.94 O10,1
219,Al0.6 Ga2.87 Gd1,1
220,Li0.93 O3 W1,1
221,Co10.5 Ge0.3 La1 Si2.2,1
222,Ba1 Na1 Nd1 O9 Si3,0
223,O1 Pr2 Se2,0
224,Fe0.941 S1,1
